step	elapsed_tokens	elapsed_examples	training_loss	training_sequence_accuracy	training_token_accuracy
79	22492	316	0.04347916107657107	0.75	0.7777777777777778
80	22656	320	0.0238375317514292	1.0	1.0
81	22916	324	0.04627367378490817	0.5	0.7
82	23208	328	0.10247422722883887	0.5	0.5833333333333334
83	23468	332	0.05193272038077794	0.5	0.8461538461538461
84	23760	336	0.07503163855606546	0.25	0.6923076923076923
85	23988	340	0.07383396641493165	0.25	0.7333333333333333
86	24184	344	0.041847666340581784	0.75	0.8888888888888888
87	24508	348	0.039002855406586615	0.75	0.7
88	24960	352	0.05432616427012753	0.5	0.6923076923076923
89	25220	356	0.05891070098931778	0.5	0.7692307692307693
90	25512	360	0.03807551837757476	0.75	0.8
91	25676	364	0.046292570389981844	0.75	0.9090909090909091
92	25872	368	0.027509964386287417	1.0	1.0
93	26132	372	0.07986069471081464	0.25	0.7142857142857143
94	26392	376	0.10635606102161545	0.25	0.7368421052631579
95	26684	380	0.027335646066082218	1.0	1.0
96	26880	384	0.045955600435213455	0.75	0.9230769230769231
97	27108	388	0.06421858742208444	0.25	0.4
98	27336	392	0.029631305816250723	1.0	1.0
99	27564	396	0.07533065002619489	0.5	0.8666666666666667
100	27952	400	0.11422604559639617	0.25	0.6
101	28116	404	0.12953740026671767	0.25	0.7333333333333333
102	28280	408	0.10032899203314445	0.25	0.46153846153846156
103	28636	412	0.06992695900841515	0.0	0.5714285714285714
104	28896	416	0.04113873586909904	0.75	0.875
105	29252	420	0.0810414766581479	0.0	0.6190476190476191
106	29576	424	0.07953755798788462	0.25	0.5833333333333334
107	29804	428	0.03432243748780041	0.75	0.875
108	30096	432	0.05500757680986985	0.75	0.7
109	30452	436	0.043230345236568775	0.5	0.8181818181818182
110	30712	440	0.07282343360931917	0.5	0.7
111	30972	444	0.03358380072802902	1.0	1.0
112	31168	448	0.08401424748721183	0.5	0.5833333333333334
113	31492	452	0.02703166221416905	1.0	1.0
114	32072	456	0.03368174082678226	0.75	0.8888888888888888
115	32428	460	0.06629808902653499	0.75	0.8
116	32720	464	0.08043954788849886	0.25	0.6428571428571429
117	32916	468	0.07987005222210428	0.5	0.75
118	33176	472	0.05631775674640267	0.75	0.8
119	33564	476	0.038095991665713876	0.5	0.75
120	33920	480	0.0533330680150671	0.0	0.5
121	34116	484	0.07932638759084512	0.25	0.7272727272727273
122	34632	488	0.03862246377264057	0.5	0.75
123	34924	492	0.107789098229235	0.5	0.5882352941176471
124	35184	496	0.03496900987368463	0.5	0.8
125	35476	500	0.047837100103418684	0.25	0.625
126	35704	504	0.04427197540430435	0.25	0.6666666666666666
127	36060	508	0.04493215200364251	0.75	0.8
128	36288	512	0.052862866716230715	0.5	0.7857142857142857
129	36516	516	0.0918428287234149	0.75	0.5714285714285714
130	36840	520	0.04933683960740746	0.5	0.75
131	37164	524	0.05852858885302339	0.75	0.8
132	37424	528	0.04041489750528853	0.75	0.9
133	37652	532	0.057068975906024985	0.75	0.8333333333333334
134	38040	536	0.06727180263445916	0.5	0.75
135	38268	540	0.027670411050619025	1.0	1.0
136	38528	544	0.05728897879345823	0.25	0.75
137	38756	548	0.10990418051963001	0.25	0.5333333333333333
138	38952	552	0.04629169354489326	0.75	0.9090909090909091
139	39244	556	0.0611898615674444	0.5	0.7777777777777778
140	39472	560	0.04553329462763421	0.25	0.6923076923076923
141	39828	564	0.031908887034600084	0.25	0.6666666666666666
142	39992	568	0.09488677600739173	0.25	0.5
143	40604	572	0.039191324500416645	0.5	0.6363636363636364
144	41024	576	0.028290323112232726	0.5	0.625
145	41252	580	0.07624271187023883	0.0	0.5454545454545454
146	41448	584	0.09407725879286773	0.25	0.6111111111111112
147	41804	588	0.02756412335348697	0.5	0.8333333333333334
148	42160	592	0.03450608807187234	0.75	0.8888888888888888
149	42356	596	0.06309742705060671	0.75	0.7
150	42648	600	0.16800420592762347	0.25	0.625
151	43004	604	0.04929437009225777	0.5	0.7058823529411765
152	43264	608	0.04647419843593128	0.75	0.7857142857142857
153	43524	612	0.04405474746998152	0.75	0.8888888888888888
154	43688	616	0.039307075229007754	0.75	0.9
155	43948	620	0.04477526811853522	0.5	0.8181818181818182
156	44208	624	0.033535136573116235	0.75	0.9090909090909091
157	44468	628	0.07855865608173872	0.25	0.6666666666666666
158	44824	632	0.07649984264495453	0.5	0.6470588235294118
159	45276	636	0.04644516547215094	0.75	0.8888888888888888
160	45408	640	0.05387742143793729	0.75	0.875
161	45604	644	0.04151286794716725	1.0	1.0
162	45928	648	0.03342052015935042	0.75	0.8181818181818182
163	46348	652	0.025269264891721835	0.75	0.875
164	47056	656	0.020827184921522943	0.5	0.75
165	47348	660	0.069476225371517	0.25	0.7692307692307693
166	48504	664	0.04232447000860484	0.75	0.6111111111111112
167	48764	668	0.028221292129346695	0.75	0.875
168	49024	672	0.07119649732157997	0.5	0.7272727272727273
169	49284	676	0.0279631111723711	0.75	0.875
170	49544	680	0.15351094134454113	0.25	0.6111111111111112
171	49868	684	0.02667521043841407	0.75	0.8888888888888888
172	50064	688	0.025291730547032782	1.0	1.0
173	50324	692	0.04847979637224853	0.75	0.8
174	50744	696	0.0522038510459858	0.25	0.5833333333333334
175	50972	700	0.03491897721608568	0.75	0.9
176	51200	704	0.06317416106378784	0.5	0.7647058823529411
177	51460	708	0.0898138751037527	0.5	0.7058823529411765
178	51688	712	0.04362843394408369	0.25	0.625
179	51852	716	0.10553668732050574	0.5	0.8
180	52048	720	0.035911667228962565	0.5	0.8
181	52500	724	0.014891570726754903	1.0	1.0
182	52920	728	0.026347396519111218	0.75	0.8181818181818182
183	53116	732	0.0851364121197245	0.5	0.7692307692307693
184	53312	736	0.09486765496903293	0.25	0.6666666666666666
185	53732	740	0.041232974412362705	0.75	0.8333333333333334
186	54024	744	0.05400033509280749	0.5	0.6666666666666666
187	54316	748	0.054437006258827345	0.5	0.6923076923076923
188	54576	752	0.02759288997686781	1.0	1.0
189	54708	756	0.11186147714442994	0.5	0.75
190	54936	760	0.05886766441644016	0.25	0.7272727272727273
191	55164	764	0.07838322752741078	0.25	0.6666666666666666
192	55584	768	0.038265607567079245	0.5	0.7
193	55780	772	0.08666350404940508	0.5	0.7272727272727273
194	56072	776	0.03646757950753656	0.5	0.7
195	56364	780	0.04235447423134045	0.5	0.7
196	56592	784	0.03632344538250306	0.75	0.75
197	56948	788	0.047425517211276684	0.25	0.6363636363636364
198	57304	792	0.018903139419412168	1.0	1.0
199	57500	796	0.0589811528198455	0.5	0.8571428571428571
200	57792	800	0.025585173277989575	0.75	0.9
201	58340	804	0.05151970946594836	0.25	0.7
202	58536	808	0.10108489425615592	0.5	0.6875
203	59148	812	0.02654910364295	0.5	0.875
204	59376	816	0.04136044908028063	0.75	0.8
205	59636	820	0.07278789963599593	0.75	0.6666666666666666
206	59768	824	0.05377586276767034	0.75	0.8888888888888888
207	59964	828	0.040762719696067505	0.75	0.9090909090909091
208	60128	832	0.0628380414970452	0.5	0.6
209	60452	836	0.03264877496154804	0.75	0.9
210	60680	840	0.06218986910590631	0.5	0.7692307692307693
211	60908	844	0.05455849157818842	0.5	0.7692307692307693
212	61136	848	0.04572166389956172	0.75	0.9
213	61492	852	0.03064517592399253	0.75	0.9166666666666666
214	61752	856	0.02388875085222935	1.0	1.0
215	61980	860	0.03718115734524742	0.75	0.875
216	62336	864	0.0935810324127868	0.5	0.625
217	62532	868	0.06390001917376746	0.25	0.7272727272727273
218	62760	872	0.056070647076563285	0.5	0.8333333333333334
219	62956	876	0.09442418104785855	0.25	0.6
220	63248	880	0.042527673730510286	0.5	0.7
221	63540	884	0.03171260249854034	0.75	0.8888888888888888
222	63896	888	0.038858825592964094	0.5	0.6923076923076923
223	64124	892	0.03422026351489226	0.75	0.8888888888888888
224	65120	896	0.02822467223233572	0.5	0.5714285714285714
225	65380	900	0.027368549735479065	0.75	0.9
226	65544	904	0.09932554936982523	0.5	0.7142857142857143
227	65772	908	0.046219850946300926	0.25	0.6
228	66064	912	0.03686097592723071	0.5	0.8461538461538461
229	66388	916	0.029487321743632493	0.5	0.8461538461538461
230	66648	920	0.043732870669776956	0.75	0.7777777777777778
231	66844	924	0.07387517197462633	0.5	0.7692307692307693
232	67168	928	0.03327365938902949	0.5	0.7272727272727273
233	67396	932	0.024684918585366433	1.0	1.0
234	67848	936	0.031881692972866464	0.75	0.8181818181818182
235	68204	940	0.03725848567492655	0.75	0.9090909090909091
236	68400	944	0.07327032998643214	0.25	0.6153846153846154
237	68596	948	0.04895500263792807	0.5	0.7272727272727273
238	68888	952	0.030111702010604455	0.75	0.875
239	69116	956	0.0730454684560391	0.25	0.7692307692307693
240	69344	960	0.08917559644433952	0.75	0.7777777777777778
241	69636	964	0.036473874781214465	0.5	0.8
242	69864	968	0.0692735822663248	0.5	0.8333333333333334
243	70508	972	0.039809017407125794	0.5	0.6666666666666666
244	70768	976	0.033689735758894127	0.75	0.9230769230769231
245	71060	980	0.02487320297315566	1.0	1.0
246	71512	984	0.06319946869346235	0.5	0.6470588235294118
